mid,name,type,address,lat,lng,region
1,상계중앙시장,상설장,서울특별시 노원구 상계로 27길 32,37.65994072,127.0698633,서울
2,오이도전통수산시장,상설장,경기도 시흥시 오이도로 167 173,37.34588337,126.6882074,시흥
3,정왕시장,상설장,경기도 시흥시 정왕시장길 51,37.34580179,126.748564,시흥
4,시흥삼미시장,상설장,경기도 시흥시 삼미시장2길 35,37.44040657,126.7838201,시흥
5,시화공구상가,상설장,경기도 시흥시 공단1대로 204,37.33771151,126.7247015,시흥
6,영천시장,상설장,서울특별시 서대문구 통일로 189-1,37.57033385,126.961853,서울
7,청량리수산시장,상설장,서울특별시 동대문구 고산자로34길 48,37.57807246,127.0409472,서울
8,화곡본동시장,상설장,서울특별시 강서구 까치산로 35,37.54286486,126.8441413,서울
9,봉천제일종합시장,상설장,서울특별시 관악구 청룡2길 29,37.48125387,126.944419,서울
10,백련시장,상설장,서울특별시 서대문구 가재울로6길 53-87,37.57700937,126.9231105,서울
11,망원시장,상설장,서울특별시 마포구 망원로8길 7,37.55715742,126.9059507,서울
12,남성사계시장,상설장,서울특별시 동작구 동작대로29길 8,37.48816723,126.9815693,서울
13,답십리현대시장,상설장,서울특별시 동대문구 전농로 4길 38,37.56677553,127.058644,서울
14,은행나무시장,상설장,서울특별시 금천구 금하로25길 9,37.4513186,126.9093496,서울
15,조원동펭귄시장,상설장,서울특별시 관악구 조원로16길 27,37.48314387,126.9114142,서울
16,봉천현대시장,상설장,서울특별시 관악구 양녕로 49,37.48643059,126.946586,서울
17,둔촌역전통시장,상설장,서울특별시 강동구 풍성로58길 34,37.52748326,127.1351577,서울
18,풍납시장,상설장,서울특별시 송파구 바람드리길 15-1,37.53803468,127.1176729,서울
19,포방터시장,상설장,서울특별시 서대문구 포방터길 43,37.5986742,126.9488953,서울
20,대조시장,상설장,서울특별시 은평구 불광로 13,37.60985344,126.9277428,서울
21,용산용문시장,상설장,서울특별시 용산구 효창원로40길 13,37.53661783,126.9597883,서울
22,시화유통상가,상설장,경기도 시흥시 공단1대로 244,37.33533243,126.7284453,시흥
23,방신전통시장,상설장,서울특별시 강서구 방화동로16길32,37.5715067,126.812647,서울
24,등마루시장,상설장,서울특별시 강서구 화곡로68길 120,37.55666129,126.8602626,서울
25,장미원골목시장,상설장,서울특별시 강북구 삼양로 469,37.64512114,127.015478,서울
26,우이시장,상설장,서울특별시 강북구 노해로 23길 68,37.64603946,127.020022,서울
27,수유중앙시장,상설장,서울특별시 강북구 노해로17길 21,37.64033603,127.0211761,서울
28,수유프라자,상설장,서울특별시 강북구 도봉로 261,37.63169515,127.0234508,서울
29,수유전통시장(수유골목시장),상설장,서울특별시 강북구 도봉로67길 18,37.63073125,127.0226688,서울
30,백년시장(강북종합시장과별개의시장) 구 강북종합전통시장,상설장,서울특별시 강북구 한천로144길 12,37.64155145,127.0257426,서울
